"Gemeenten 2020","Gemeenten 2020 (gemnaam)","Gemeenten 2020 (Overgewicht)","Gemeenten 2020 (Bevolking)"
"Dordrecht","Dordrecht",55,1,94590
"Gorinchem","Gorinchem",54,8,29515
"Gouda","Gouda",50,6,57759
"'s-Gravenhage","'s-Gravenhage",49,427512
"Hardinxveld-Giessendam","Hardinxveld-Giessendam",53,6,13890
"Hellevoetsluis","Hellevoetsluis",57,1,32278
"Hendrik-Ido-Ambacht","Hendrik-Ido-Ambacht",53,9,23287
"Stede Broec","Stede Broec",51,9,17196
"Hillegom","Hillegom",49,5,17680
"Katwijk","Katwijk",52,2,50409
"Krimpen aan den IJssel","Krimpen aan den IJssel",54,22863
"Leiden","Leiden",42,1,103004
"Leiderdorp","Leiderdorp",49,2,21815
"Lisse","Lisse",49,5,18500
"Maassluis","Maassluis",56,2,26669
"Nieuwkoop","Nieuwkoop",49,9,22872
"Noordwijk","Noordwijk",49,6,34905
"Oegstgeest","Oegstgeest",43,5,19051
"Oudewater","Oudewater",49,2,7989
"Papendrecht","Papendrecht",55,25622
"Ridderkerk","Ridderkerk",56,4,37494
"Rotterdam","Rotterdam",51,3,516565
"Rijswijk","Rijswijk",50,4,43375
"Schiedam","Schiedam",55,9,63154
"Sliedrecht","Sliedrecht",55,1,18997
"Albrandswaard","Albrandswaard",53,9,19624
"Westvoorne","Westvoorne",51,5,12323
"Vlaardingen","Vlaardingen",56,5,58439
"Voorschoten","Voorschoten",47,3,19825
"Waddinxveen","Waddinxveen",52,2,23245
"Wassenaar","Wassenaar",46,4,20343
"Woerden","Woerden",48,7,40670
"Zoetermeer","Zoetermeer",53,6,99082
"Zoeterwoude","Zoeterwoude",48,5,6738
"Zwijndrecht","Zwijndrecht",56,8,35510
"Borsele","Borsele",53,6,17818
"Goes","Goes",52,7,30623
"West Maas en Waal","West Maas en Waal",54,2,15728
"Hulst","Hulst",54,8,22493
"Kapelle","Kapelle",52,8,9960
"Middelburg","Middelburg",49,5,38462
"Reimerswaal","Reimerswaal",53,7,17036
"Terneuzen","Terneuzen",55,2,44430
"Tholen","Tholen",55,6,19993
"Veere","Veere",48,4,17620
"Vlissingen","Vlissingen",52,5,35984
"De Ronde Venen","De Ronde Venen",48,2,35696
"Tytsjerksteradiel","Tytsjerksteradiel",51,8,24938
"Asten","Asten",49,1,13434
"Baarle-Nassau","Baarle-Nassau",53,4,5582
"Bergen op Zoom","Bergen op Zoom",55,7,53794
"Best","Best",51,7,24239
"Boekel","Boekel",49,8,8397
"Boxmeer","Boxmeer",51,2,23643
"Boxtel","Boxtel",52,1,24411
"Breda","Breda",49,1,146771
"Deurne","Deurne",52,6,25825
"Pekela","Pekela",63,9,9833
"Dongen","Dongen",54,7,20976
"Eersel","Eersel",49,8,15459
"Eindhoven","Eindhoven",47,1,192086
"Etten-Leur","Etten-Leur",54,5,34474
"Geertruidenberg","Geertruidenberg",56,3,17216
"Gilze en Rijen","Gilze en Rijen",54,8,20806
"Goirle","Goirle",54,9,18697
"Grave","Grave",52,4,9679
"Haaren","Haaren",51,11357
"Helmond","Helmond",54,4,73245
"'s-Hertogenbosch","'s-Hertogenbosch",50,124609
"Heusden","Heusden",52,8,36033
"Hilvarenbeek","Hilvarenbeek",51,12548
"Loon op Zand","Loon op Zand",54,3,18890
"Mill en Sint Hubert","Mill en Sint Hubert",51,5,8946
"Nuenen Gerwen en Nederwetten","Nuenen Gerwen en Nederwetten",50,4,19051
"Oirschot","Oirschot",50,8,15183
"Oisterwijk","Oisterwijk",51,6,20860
"Oosterhout","Oosterhout",55,45329
"Oss","Oss",53,7,74247
"Rucphen","Rucphen",58,2,19075
"Sint-Michielsgestel","Sint-Michielsgestel",49,9,23081
"Someren","Someren",49,2,15642
"Son en Breugel","Son en Breugel",50,1,13649
"Steenbergen","Steenbergen",57,3,19882
"Waterland","Waterland",49,2,13891
"Tilburg","Tilburg",51,7,176798
"Uden","Uden",52,4,33691
"Valkenswaard","Valkenswaard",51,7,25741
"Veldhoven","Veldhoven",50,1,36465
"Vught","Vught",49,4,20073
"Waalre","Waalre",48,4,13849
"Waalwijk","Waalwijk",54,8,39256
"Woensdrecht","Woensdrecht",56,9,17980
"Zundert","Zundert",53,6,18107
"Wormerland","Wormerland",52,1,13224
"Landgraaf","Landgraaf",59,5,30663
"Beek","Beek",55,6,13322
"Beesel","Beesel",54,6,10997
