Code,ExperiencedHealthGoodVeryGood,OneOrMorePhysicalLimitations,LimitationInMovement,Underweight,NormalWeight,Overweight,SatisfiesPhysicalActivityGuidelines,WeeklySportsParticipant,Smokers,ExcessiveDrinker,DistanceToGP,GPWithin5Km,DistanceToLargeSupermarket,SMWithin5Km,DistanceToDepartmentStore,DSWithin20Km,DistanceToCafe,CafeWithin5Km_35,DistanceToSnackBar,SBWithin5Km,DistanceToRestaurant,RestWithin5Km,DistanceToAccessMainRoad,DistanceToTrainStationsTotal,DistanceToImportantTransferStation,Gemeentenaam,ProvinciecodePV,Provincienaam,Population,DensityPerKM,CarsPer1000
GM0851,80.5,15.9,9.8,1.5,40.5,58.1,41.5,44.4,13.8,5.9,1.0,1.9,1.0,3.5,3.9,5.6,0.9,7.3,0.9,7.7,0.9,9.3,2.6,12.9,15.5,Steenbergen,PV30,Noord-Brabant,24416.0,167.0,543.0
GM1708,81.4,13.9,9.2,0.9,44.1,55.0,50.4,45.3,16.6,7.8,1.9,2.1,1.5,4.5,5.5,3.6,2.5,6.6,1.5,12.2,1.1,14.2,1.3,7.4,35.8,Steenwijkerland,PV23,Overijssel,44126.0,153.0,524.0
GM0971,72.7,19.3,13.0,1.6,39.2,59.2,46.5,47.0,17.9,5.3,0.8,8.8,0.9,10.2,2.0,17.4,0.5,29.6,0.5,33.0,1.2,27.1,1.3,3.4,9.2,Stein,PV31,Limburg,25007.0,1186.0,589.0
GM1904,79.9,12.5,6.7,1.6,51.2,47.2,,,13.6,7.1,1.1,8.8,1.0,9.5,2.4,28.0,2.0,7.6,1.1,23.5,1.0,38.4,1.7,3.2,10.8,Stichtse Vecht,PV26,Utrecht,64931.0,676.0,498.0
GM1900,80.5,12.8,7.9,1.5,51.5,47.0,55.7,47.3,19.8,8.0,1.9,3.7,1.4,6.6,5.2,3.9,1.8,10.5,1.6,13.4,1.4,20.8,2.1,5.1,28.6,Súdwest-Fryslân,PV21,Friesland,89987.0,172.0,492.0
GM0715,74.7,17.4,11.1,1.7,44.7,53.6,45.0,41.4,17.2,6.5,1.4,2.5,1.1,4.8,6.8,2.8,1.5,10.7,1.0,11.3,1.3,18.4,2.0,33.1,78.6,Terneuzen,PV29,Zeeland,54426.0,217.0,553.0
GM0093,82.3,11.2,5.3,2.0,44.9,53.1,72.2,47.2,17.5,15.3,1.4,1.1,0.8,2.0,4.0,1.0,0.9,7.6,0.6,8.0,0.4,18.7,37.6,36.2,63.6,Terschelling,PV21,Friesland,4888.0,57.0,483.0
GM0448,78.5,11.7,7.5,2.0,48.1,50.0,60.1,49.2,14.1,7.3,2.8,2.0,1.0,4.5,3.8,1.9,2.1,3.5,1.0,6.8,0.8,19.1,3.4,15.9,55.7,Texel,PV27,Noord-Holland,13575.0,84.0,523.0
GM1525,84.7,9.4,4.6,0.3,53.3,46.4,49.8,56.8,11.1,7.4,0.6,11.7,0.7,10.8,1.3,23.3,1.0,7.3,0.6,29.7,0.5,41.8,1.0,1.8,8.2,Teylingen,PV28,Zuid-Holland,37440.0,1319.0,508.0
GM0716,78.5,16.8,10.1,0.9,43.2,55.8,46.8,36.3,18.2,5.1,0.9,1.6,1.1,2.1,11.9,2.8,0.8,2.6,0.9,4.0,1.6,3.7,1.0,16.2,27.1,Tholen,PV29,Zeeland,25757.0,176.0,523.0
GM0281,75.8,16.5,10.7,0.6,44.1,55.4,45.1,41.6,23.1,5.2,1.7,5.1,0.9,10.1,2.5,8.0,1.8,24.2,0.9,36.6,0.9,38.5,1.9,1.7,33.4,Tiel,PV25,Gelderland,42159.0,1282.0,551.0
GM0855,78.2,16.0,10.5,2.0,46.8,51.2,49.1,53.9,17.8,5.8,0.7,24.7,0.7,32.7,1.6,18.1,0.9,77.2,0.6,138.5,0.6,101.5,2.9,2.5,3.9,Tilburg,PV30,Noord-Brabant,219789.0,1892.0,531.0
GM0183,85.4,12.6,6.5,0.9,47.4,51.7,53.7,55.3,15.8,12.7,2.0,2.6,1.7,3.5,3.9,9.9,1.6,3.3,2.4,4.5,1.0,12.4,1.2,10.6,11.0,Tubbergen,PV23,Overijssel,21275.0,145.0,572.0
GM1700,79.9,18.0,11.0,1.3,39.2,59.5,47.6,41.8,17.5,7.1,1.0,4.1,1.0,4.8,2.7,10.1,1.0,4.5,0.8,7.3,1.0,7.3,1.2,2.9,12.2,Twenterand,PV23,Overijssel,33743.0,318.0,527.0
GM1730,81.7,10.5,7.3,2.0,52.2,45.8,53.3,56.0,14.3,6.7,1.4,4.7,1.4,4.3,3.1,12.7,1.4,4.7,1.4,6.9,1.0,16.7,2.4,8.8,14.0,Tynaarlo,PV22,Drenthe,33887.0,237.0,668.0
GM0737,81.1,12.1,8.0,1.5,50.1,48.4,52.3,43.1,14.6,6.2,1.6,2.0,1.4,4.1,5.2,7.4,1.6,4.3,2.6,3.9,1.4,5.9,1.7,5.2,14.9,Tytsjerksteradiel,PV21,Friesland,32052.0,215.0,534.0
GM0856,78.6,15.0,10.3,1.2,48.3,50.5,49.4,56.3,14.7,6.9,1.2,4.9,0.8,12.7,1.8,13.8,1.0,21.8,0.6,36.8,0.9,39.8,1.4,15.5,27.0,Uden,PV30,Noord-Brabant,42119.0,629.0,572.0
