"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"935";"10000";"MBG0095";"GM0397";"    85.2";"    13.2";"     9.5";"     1.9";"    60.9";"    45.4";"    37.0";"    10.5";"    65.7";"    68.5";"    14.2";"    10.0"
"936";"10000";"MBG0095";"GM0246";"    84.6";"    15.5";"    10.2";"     2.4";"    51.4";"    55.2";"    40.7";"    17.2";"    56.9";"    52.6";"    16.0";"    10.1"
"937";"10000";"MBG0095";"GM0074";"    84.4";"    14.6";"     9.8";"     3.1";"    51.2";"    53.1";"    38.7";"    16.7";"    57.7";"    51.7";"    19.0";"     6.5"
"938";"10000";"MBG0095";"GM0398";"    80.4";"    15.3";"     8.9";"     3.1";"    49.6";"    56.0";"    40.7";"    17.9";"    58.6";"    56.6";"    16.8";"     7.0"
"939";"10000";"MBG0095";"GM0917";"    71.1";"    25.8";"    17.5";"     2.7";"    43.8";"    58.3";"    37.6";"    22.2";"    42.0";"    40.7";"    24.0";"     6.5"
"940";"10000";"MBG0095";"GM1658";"    84.2";"    14.7";"     9.1";"     4.0";"    53.7";"    52.5";"    40.0";"    15.4";"    57.3";"    61.9";"    11.8";"    10.0"
"941";"10000";"MBG0095";"GM0399";"    86.1";"    11.7";"     7.6";"     3.9";"    62.1";"    42.4";"    32.2";"    12.4";"    61.9";"    63.5";"    14.9";"     9.3"
"942";"10000";"MBG0095";"GM0400";"    79.6";"    19.9";"    12.6";"     1.3";"    43.4";"    62.7";"    43.8";"    21.8";"    51.8";"    46.3";"    21.6";"     7.8"
"943";"10000";"MBG0095";"GM0163";"    84.4";"    16.8";"    11.1";"     3.1";"    45.9";"    59.1";"    46.5";"    15.2";"    56.8";"    54.8";"    16.5";"    11.3"
"944";"10000";"MBG0095";"GM0530";"    80.9";"    22.9";"    15.7";"     4.4";"    45.9";"    59.9";"    41.8";"    21.6";"    42.9";"    44.1";"    21.0";"     7.4"
"945";"10000";"MBG0095";"GM0794";"    77.7";"    20.4";"    13.8";"     1.9";"    47.0";"    57.7";"    37.5";"    22.6";"    50.4";"    50.2";"    20.9";"     7.1"
"946";"10000";"MBG0095";"GM0531";"    84.8";"    15.6";"     9.4";"     4.9";"    50.5";"    54.1";"    38.4";"    18.2";"    45.6";"    55.4";"    14.8";"     6.3"
"947";"10000";"MBG0095";"GM0164";"    82.3";"    15.8";"    10.0";"     1.8";"    52.3";"    54.5";"    37.8";"    19.6";"    54.4";"    54.7";"    23.3";"    10.1"
"948";"10000";"MBG0095";"GM0796";"    81.2";"    15.0";"     9.2";"     2.6";"    53.3";"    49.9";"    37.8";"    13.6";"    50.5";"    58.4";"    20.6";"     7.0"
"949";"10000";"MBG0095";"GM0252";"    81.8";"    12.7";"     6.8";"     2.4";"    59.3";"    47.4";"    36.6";"    13.2";"    58.5";"    67.0";"    15.4";"    10.0"
"950";"10000";"MBG0095";"GM0797";"    81.2";"    17.4";"    11.6";"     4.9";"    52.2";"    53.8";"    39.0";"    17.4";"    48.3";"    57.5";"    15.3";"     5.9"
"951";"10000";"MBG0095";"GM0534";"    84.8";"    17.6";"     9.5";"     4.3";"    55.1";"    50.4";"    37.3";"    15.8";"    50.5";"    55.2";"    15.1";"     9.4"
"952";"10000";"MBG0095";"GM0798";"    84.8";"    17.5";"    10.0";"     1.9";"    55.5";"    50.6";"    38.6";"    14.2";"    56.0";"    62.1";"    12.6";"    11.8"
"953";"10000";"MBG0095";"GM0402";"    83.9";"    13.5";"     9.0";"     3.5";"    55.9";"    47.2";"    35.2";"    13.8";"    52.8";"    54.6";"    21.4";"     7.4"
"954";"10000";"MBG0095";"GM1963";"    84.2";"    12.7";"     8.9";"     2.8";"    51.4";"    54.4";"    40.8";"    16.0";"    49.6";"    50.6";"    16.4";"     6.3"
"955";"10000";"MBG0095";"GM1735";"    84.3";"    15.9";"    10.9";"     2.1";"    46.5";"    56.5";"    41.0";"    17.2";"    55.4";"    53.2";"    17.6";"    11.5"
"956";"10000";"MBG0095";"GM1966";"    80.3";"    14.5";"    10.6";"     2.1";"    49.5";"    55.0";"    41.5";"    15.5";"    51.5";"    43.8";"    19.6";"     8.8"
"957";"10000";"MBG0095";"GM1911";"    81.5";"    13.7";"    10.0";"     2.8";"    51.5";"    54.7";"    37.9";"    19.6";"    52.2";"    48.0";"    21.1";"     8.5"
"958";"10000";"MBG0095";"GM0118";"    79.5";"    21.8";"    13.9";"     2.5";"    51.2";"    58.3";"    42.7";"    19.6";"    54.1";"    49.9";"    29.4";"    11.0"
"959";"10000";"MBG0095";"GM0405";"    80.3";"    14.9";"     9.9";"     3.7";"    51.5";"    53.0";"    38.5";"    16.8";"    53.8";"    54.9";"    19.6";"     7.3"
"960";"10000";"MBG0095";"GM1507";"    80.9";"    15.1";"     8.8";"     2.3";"    47.6";"    56.6";"    41.6";"    17.0";"    58.5";"    58.4";"    16.6";"     8.4"
"961";"10000";"MBG0095";"GM0321";"    82.1";"    12.3";"     7.1";"     2.6";"    57.0";"    47.5";"    35.7";"    13.9";"       .";"       .";"    12.5";"     4.9"
"962";"10000";"MBG0095";"GM0406";"    81.8";"    14.4";"     9.6";"     2.6";"    51.3";"    53.5";"    39.2";"    16.6";"    48.7";"    51.8";"    19.8";"     8.4"
"963";"10000";"MBG0095";"GM0677";"    80.1";"    15.8";"    11.6";"     3.6";"    48.5";"    57.0";"    40.6";"    19.1";"    54.5";"    50.1";"    16.3";"     7.5"
"964";"10000";"MBG0095";"GM0353";"    80.4";"    15.3";"    10.3";"     2.7";"    49.3";"    56.6";"    40.7";"    18.9";"       .";"       .";"    18.9";"     7.2"
