"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"17";"10000";"MW00000";"GM1680";"    83.1";"    13.8";"     8.2";"     0.7";"    50.1";"    49.2";"    34.3";"    14.9";"    47.3";"    48.3";"    14.3";"     5.4"
"18";"10000";"MW00000";"GM0358";"    82.7";"    10.2";"     5.8";"     1.2";"    50.3";"    48.5";"    36.4";"    12.1";"    48.1";"    58.8";"    13.0";"     5.0"
"19";"10000";"MW00000";"GM0197";"    79.1";"    15.1";"     8.3";"     1.4";"    49.2";"    49.4";"    33.8";"    15.6";"    56.2";"    51.5";"    14.7";"     6.6"
"20";"10000";"MW00000";"GM0059";"    79.1";"    16.0";"    11.4";"     0.8";"    42.6";"    56.6";"    40.0";"    16.6";"    48.7";"    40.7";"    19.8";"     7.9"
"21";"10000";"MW00000";"GM0482";"    77.0";"    17.1";"    11.5";"     2.0";"    41.7";"    56.3";"    38.8";"    17.5";"    42.9";"    40.0";"    14.9";"     5.2"
"22";"10000";"MW00000";"GM0613";"    80.6";"    11.9";"     6.2";"     1.8";"    43.9";"    54.3";"    40.0";"    14.4";"    46.7";"    57.3";"    12.0";"     3.5"
"23";"10000";"MW00000";"GM0361";"    79.4";"    12.8";"     8.0";"     2.3";"    50.2";"    47.4";"    33.2";"    14.3";"    57.0";"    54.1";"    15.7";"     6.8"
"24";"10000";"MW00000";"GM0141";"    77.1";"    20.2";"    12.9";"     1.7";"    42.1";"    56.3";"    37.8";"    18.5";"    49.1";"    41.3";"    21.8";"     6.8"
"25";"10000";"MW00000";"GM0034";"    76.4";"    13.6";"     8.0";"     2.2";"    43.3";"    54.5";"    39.6";"    14.8";"    43.4";"    47.1";"    16.3";"     4.0"
"26";"10000";"MW00000";"GM0484";"    80.1";"    12.6";"     7.1";"     1.3";"    48.3";"    50.4";"    36.5";"    13.9";"    48.6";"    49.6";"    16.0";"     6.3"
"27";"10000";"MW00000";"GM1723";"    82.5";"    10.9";"     5.4";"     1.6";"    50.4";"    48.1";"    37.1";"    11.0";"    50.7";"    50.6";"     9.7";"     8.9"
"28";"10000";"MW00000";"GM1959";"    81.1";"    11.5";"     6.7";"     2.4";"    42.7";"    54.8";"    39.0";"    15.8";"    44.6";"    44.3";"    14.3";"     4.9"
"29";"10000";"MW00000";"GM0060";"    81.9";"    13.1";"     7.2";"     2.8";"    43.6";"    53.6";"    42.9";"    10.7";"    64.2";"    38.5";"    16.9";"     6.9"
"30";"10000";"MW00000";"GM0307";"    80.7";"    11.2";"     6.7";"     1.9";"    54.3";"    43.8";"    31.8";"    12.0";"       .";"       .";"    14.7";"     4.2"
"31";"10000";"MW00000";"GM0362";"    82.3";"    11.3";"     7.5";"     2.7";"    55.1";"    42.2";"    31.0";"    11.2";"    48.7";"    57.3";"    12.2";"     5.3"
"32";"10000";"MW00000";"GM0363";"    79.3";"    14.9";"     9.4";"     2.7";"    58.1";"    39.3";"    28.1";"    11.2";"    56.9";"    58.6";"    21.8";"     7.1"
"33";"10000";"MW00000";"GM0200";"    79.2";"    14.2";"     9.4";"     2.0";"    47.1";"    51.0";"    34.2";"    16.7";"    48.7";"    49.4";"    16.0";"     5.5"
"34";"10000";"MW00000";"GM0003";"    72.8";"    20.1";"    15.3";"     1.5";"    38.1";"    60.4";"    38.9";"    21.6";"    44.5";"    36.7";"    18.4";"     6.4"
"35";"10000";"MW00000";"GM0202";"    80.2";"    15.5";"     8.7";"     1.1";"    54.3";"    44.6";"    30.9";"    13.7";"    53.8";"    53.1";"    21.3";"     7.4"
"36";"10000";"MW00000";"GM0106";"    78.8";"    13.6";"     8.3";"     0.5";"    46.8";"    52.7";"    37.1";"    15.6";"    50.1";"    45.3";"    16.3";"     4.3"
"37";"10000";"MW00000";"GM0743";"    78.4";"    15.6";"     7.6";"     3.2";"    52.8";"    43.9";"    31.7";"    12.2";"    48.7";"    55.6";"    13.6";"     9.1"
"38";"10000";"MW00000";"GM0744";"    74.7";"    15.3";"    10.4";"     0.8";"    46.2";"    53.1";"    34.2";"    18.8";"    48.5";"    45.2";"    14.3";"     6.6"
"39";"10000";"MW00000";"GM0308";"    80.9";"    10.6";"     6.2";"     3.2";"    52.9";"    43.9";"    32.0";"    11.8";"       .";"       .";"    13.3";"     6.0"
"40";"10000";"MW00000";"GM0489";"    83.6";"    11.7";"     7.3";"     1.3";"    47.6";"    51.0";"    35.6";"    15.4";"    40.2";"    51.7";"    14.2";"     4.0"
"41";"10000";"MW00000";"GM0203";"    84.2";"    13.7";"     7.9";"     2.7";"    47.9";"    49.4";"    35.5";"    14.0";"    50.9";"    46.8";"    15.7";"     5.9"
"42";"10000";"MW00000";"GM0888";"    75.3";"    18.1";"    12.6";"     1.5";"    43.8";"    54.7";"    39.3";"    15.4";"    44.3";"    45.6";"    13.9";"     5.0"
"43";"10000";"MW00000";"GM1954";"    73.7";"    16.9";"    10.7";"     1.4";"    43.0";"    55.6";"    37.9";"    17.7";"    42.7";"    46.5";"    15.7";"     5.2"
"44";"10000";"MW00000";"GM0370";"    84.2";"    10.9";"     6.4";"     1.7";"    53.8";"    44.5";"    34.8";"     9.7";"    51.7";"    53.0";"    11.4";"     4.8"
"45";"10000";"MW00000";"GM0889";"    73.9";"    20.1";"    12.8";"     2.4";"    44.6";"    53.0";"    34.7";"    18.3";"    52.7";"    44.7";"    16.0";"     4.8"
"46";"10000";"MW00000";"GM1945";"    74.2";"    14.2";"     8.8";"     1.2";"    46.6";"    52.2";"    35.9";"    16.4";"    49.4";"    52.0";"    17.1";"     5.8"
"47";"10000";"MW00000";"GM1724";"    80.3";"    14.8";"     7.1";"     2.7";"    44.0";"    53.2";"    37.6";"    15.6";"    47.8";"    51.2";"    12.5";"     6.7"
"48";"10000";"MW00000";"GM0893";"    74.8";"    16.3";"     8.8";"     1.7";"    43.6";"    54.7";"    36.8";"    17.8";"    49.9";"    42.5";"    18.1";"     6.7"
"49";"10000";"MW00000";"GM0373";"    80.7";"    10.5";"     7.4";"     1.8";"    55.8";"    42.4";"    33.4";"     9.0";"    58.2";"    52.1";"    12.7";"     8.3"
"50";"10000";"MW00000";"GM0748";"    76.3";"    16.0";"     9.7";"     1.2";"    44.0";"    54.8";"    37.2";"    17.6";"    49.1";"    47.3";"    17.5";"     5.5"
"51";"10000";"MW00000";"GM1859";"    82.4";"    13.6";"     8.8";"     1.2";"    44.7";"    54.1";"    38.0";"    16.1";"    52.0";"    52.6";"    14.5";"     9.9"
"52";"10000";"MW00000";"GM1721";"    82.2";"    13.0";"     8.6";"     2.0";"    50.0";"    48.0";"    36.0";"    12.0";"    49.9";"    58.6";"    12.1";"     6.7"
"53";"10000";"MW00000";"GM0753";"    79.9";"    13.2";"     9.0";"     1.0";"    46.6";"    52.4";"    36.6";"    15.8";"    47.8";"    56.4";"    10.3";"     5.8"
"54";"10000";"MW00000";"GM0209";"    74.1";"    11.3";"     6.5";"     1.5";"    45.4";"    53.1";"    38.2";"    14.8";"    48.1";"    53.3";"    16.4";"     6.2"
"55";"10000";"MW00000";"GM0375";"    75.4";"    16.8";"    10.1";"     2.3";"    43.9";"    53.8";"    37.1";"    16.7";"    54.5";"    49.0";"    18.1";"     6.7"
"56";"10000";"MW00000";"GM0310";"    80.3";"    11.4";"     7.7";"     1.8";"    56.3";"    41.9";"    31.6";"    10.3";"       .";"       .";"    12.1";"     6.8"
"57";"10000";"MW00000";"GM1728";"    81.3";"    12.3";"     7.6";"     1.9";"    47.2";"    50.9";"    36.6";"    14.4";"    53.2";"    52.2";"    12.3";"     7.7"
"58";"10000";"MW00000";"GM0376";"    82.4";"    12.4";"     7.7";"     3.1";"    57.2";"    39.7";"    29.1";"    10.5";"    49.3";"    53.7";"    12.7";"     8.3"
"59";"10000";"MW00000";"GM0377";"    85.3";"    10.4";"     6.2";"     2.3";"    61.8";"    35.9";"    29.2";"     6.7";"    66.4";"    67.2";"     9.7";"     8.7"
"60";"10000";"MW00000";"GM1901";"    84.1";"    12.0";"     8.0";"     1.3";"    49.4";"    49.4";"    35.6";"    13.7";"    47.8";"    50.0";"    13.1";"     5.4"
"61";"10000";"MW00000";"GM0755";"    81.7";"    14.7";"     7.8";"     1.3";"    49.7";"    49.0";"    34.5";"    14.5";"    51.7";"    57.1";"    10.9";"     5.8"
"62";"10000";"MW00000";"GM1681";"    78.4";"    15.7";"     9.5";"     2.3";"    40.7";"    57.0";"    38.7";"    18.4";"    46.1";"    40.5";"    15.6";"     5.6"
"63";"10000";"MW00000";"GM0147";"    84.0";"    13.2";"     8.6";"     1.3";"    45.6";"    53.1";"    39.4";"    13.7";"    55.1";"    54.4";"    14.6";"     7.7"
"64";"10000";"MW00000";"GM0654";"    76.6";"    14.5";"     8.2";"     1.5";"    44.7";"    53.9";"    37.9";"    16.0";"    44.8";"    41.7";"    15.7";"     6.8"
"65";"10000";"MW00000";"GM0756";"    79.9";"    13.2";"     8.9";"     0.8";"    51.0";"    48.2";"    34.8";"    13.4";"    53.3";"    57.6";"    12.0";"     7.7"
"66";"10000";"MW00000";"GM0757";"    79.8";"    13.9";"     8.1";"     0.8";"    49.3";"    49.9";"    35.9";"    14.0";"    55.1";"    55.8";"    16.4";"     6.7"
"67";"10000";"MW00000";"GM0758";"    79.0";"    14.7";"     8.9";"     2.1";"    51.4";"    46.5";"    33.6";"    12.9";"    50.0";"    57.7";"    17.5";"     6.5"
"68";"10000";"MW00000";"GM0501";"    81.3";"    13.3";"     8.4";"     1.0";"    47.0";"    51.9";"    35.7";"    16.3";"    45.3";"    49.2";"    14.9";"     5.4"
"69";"10000";"MW00000";"GM1876";"    81.1";"    11.2";"     6.9";"     0.9";"    45.9";"    53.1";"    38.0";"    15.1";"    52.3";"    50.9";"    13.5";"     6.8"
"70";"10000";"MW00000";"GM0213";"    80.2";"    15.6";"    10.7";"     1.4";"    42.2";"    56.4";"    36.9";"    19.5";"    51.2";"    47.3";"    15.0";"     6.4"
"71";"10000";"MW00000";"GM0899";"    69.8";"    23.5";"    16.0";"     1.9";"    39.1";"    59.1";"    37.7";"    21.4";"    39.2";"    40.3";"    19.9";"     5.1"
"72";"10000";"MW00000";"GM0312";"    84.5";"     9.7";"     5.3";"     1.2";"    57.5";"    41.3";"    31.8";"     9.5";"       .";"       .";"     9.7";"     5.6"
"73";"10000";"MW00000";"GM0313";"    81.4";"    14.8";"     8.9";"     1.0";"    50.9";"    48.1";"    33.3";"    14.7";"       .";"       .";"    15.2";"     6.2"
"74";"10000";"MW00000";"GM0214";"    78.2";"    11.8";"     6.3";"     0.8";"    44.7";"    54.5";"    38.7";"    15.9";"    40.0";"    45.3";"    18.6";"     5.2"
"75";"10000";"MW00000";"GM0502";"    75.8";"    13.7";"    10.0";"     2.0";"    44.4";"    53.6";"    36.3";"    17.2";"    42.5";"    50.3";"    16.3";"     5.0"
"76";"10000";"MW00000";"GM0383";"    83.5";"    10.8";"     6.9";"     2.5";"    56.2";"    41.3";"    32.3";"     9.0";"    57.5";"    62.3";"    10.8";"     8.2"
"77";"10000";"MW00000";"GM0109";"    76.5";"    17.0";"    10.3";"     1.4";"    39.1";"    59.4";"    41.2";"    18.2";"    49.5";"    44.2";"    17.9";"     7.4"
"78";"10000";"MW00000";"GM1706";"    77.7";"    13.4";"     7.0";"     2.0";"    49.1";"    48.9";"    36.7";"    12.2";"    51.0";"    52.7";"    13.3";"     9.3"
"79";"10000";"MW00000";"GM1684";"    77.8";"    18.2";"    10.1";"     0.8";"    48.6";"    50.6";"    34.2";"    16.4";"    52.3";"    50.7";"    12.2";"     5.0"
"80";"10000";"MW00000";"GM0216";"    77.2";"    12.5";"     7.2";"     1.8";"    50.1";"    48.1";"    33.6";"    14.5";"    52.0";"    50.2";"    13.1";"     4.9"
"81";"10000";"MW00000";"GM0148";"    85.9";"    12.2";"     7.0";"     1.6";"    48.5";"    49.9";"    35.5";"    14.4";"    51.5";"    51.2";"    12.5";"     6.5"
"82";"10000";"MW00000";"GM1891";"    77.6";"    17.7";"    11.3";"     1.3";"    41.6";"    57.2";"    40.9";"    16.2";"    46.2";"    38.9";"    15.2";"     5.9"
"83";"10000";"MW00000";"GM0503";"    79.7";"    10.8";"     7.4";"     1.9";"    58.5";"    39.6";"    28.2";"    11.3";"    54.1";"    58.3";"    15.0";"     6.7"
"84";"10000";"MW00000";"GM0010";"    77.6";"    16.4";"    12.4";"     0.9";"    40.5";"    58.5";"    35.8";"    22.8";"    40.9";"    36.0";"    19.5";"     4.4"
"85";"10000";"MW00000";"GM0762";"    78.5";"    15.6";"     9.2";"     1.3";"    43.9";"    54.8";"    39.7";"    15.1";"    52.0";"    52.8";"    13.5";"     7.3"
"86";"10000";"MW00000";"GM0150";"    78.1";"    13.5";"     8.2";"     0.9";"    49.9";"    49.2";"    36.0";"    13.2";"    51.4";"    51.1";"    19.5";"     4.8"
"87";"10000";"MW00000";"GM0384";"    81.9";"    12.1";"     7.0";"     3.5";"    54.4";"    42.1";"    30.8";"    11.3";"    48.9";"    56.7";"    16.9";"     5.8"
"88";"10000";"MW00000";"GM1774";"    83.6";"    12.0";"     7.2";"     0.4";"    47.4";"    52.2";"    40.2";"    12.0";"    56.1";"    57.7";"    15.8";"    12.1"
"89";"10000";"MW00000";"GM0221";"    73.9";"    18.0";"    10.5";"     0.9";"    42.3";"    56.8";"    40.5";"    16.3";"    49.7";"    45.6";"    19.2";"     6.1"
"90";"10000";"MW00000";"GM0222";"    80.1";"    13.6";"     8.2";"     2.4";"    45.6";"    52.0";"    35.9";"    16.1";"    54.8";"    52.7";"    14.6";"     6.1"
"91";"10000";"MW00000";"GM0766";"    82.0";"    14.4";"     8.9";"     1.3";"    44.0";"    54.6";"    36.1";"    18.5";"    47.3";"    56.0";"    14.1";"     4.7"
"92";"10000";"MW00000";"GM0505";"    76.7";"    16.0";"    10.2";"     2.0";"    45.0";"    52.9";"    34.9";"    18.0";"    48.2";"    47.4";"    15.7";"     5.3"
"93";"10000";"MW00000";"GM0498";"    82.0";"    10.4";"     5.8";"     1.2";"    53.7";"    45.1";"    32.9";"    12.2";"    55.7";"    55.9";"    12.5";"     6.2"
"94";"10000";"MW00000";"GM1719";"    77.9";"    13.5";"     7.3";"     1.0";"    45.4";"    53.6";"    36.7";"    17.0";"    44.8";"    49.1";"    15.2";"     7.9"
"95";"10000";"MW00000";"GM0303";"    82.2";"    13.4";"     7.8";"     1.6";"    48.2";"    50.2";"    34.9";"    15.3";"    50.4";"    46.6";"    14.3";"     5.5"
"96";"10000";"MW00000";"GM0225";"    74.4";"    14.7";"     9.7";"     1.1";"    39.6";"    59.3";"    42.7";"    16.6";"    45.2";"    46.6";"    15.9";"     4.7"
"97";"10000";"MW00000";"GM0226";"    78.5";"    16.5";"     9.7";"     0.9";"    45.3";"    53.8";"    36.0";"    17.9";"    52.5";"    51.4";"    14.6";"     6.5"
"98";"10000";"MW00000";"GM1711";"    72.7";"    19.5";"    11.9";"     1.4";"    42.1";"    56.5";"    37.7";"    18.8";"    45.7";"    45.1";"    16.0";"     4.9"
"99";"10000";"MW00000";"GM0385";"    81.3";"    13.9";"     8.0";"     1.6";"    49.1";"    49.2";"    35.8";"    13.4";"    49.6";"    51.5";"    12.4";"     7.9"
"100";"10000";"MW00000";"GM0228";"    83.4";"    14.4";"     8.8";"     1.8";"    48.1";"    50.1";"    32.3";"    17.7";"    54.3";"    49.4";"    16.5";"     4.4"
"101";"10000";"MW00000";"GM0317";"    82.2";"     8.7";"     5.4";"     1.6";"    46.6";"    51.8";"    39.1";"    12.7";"       .";"       .";"    15.2";"     9.0"
"102";"10000";"MW00000";"GM0770";"    80.4";"    14.2";"     6.8";"     0.7";"    52.6";"    46.7";"    34.4";"    12.3";"    51.3";"    53.8";"    10.4";"     6.5"
"103";"10000";"MW00000";"GM1903";"    78.4";"    14.7";"     9.4";"     1.7";"    46.3";"    52.0";"    36.8";"    15.2";"    48.8";"    47.2";"    14.3";"     6.4"
"104";"10000";"MW00000";"GM0772";"    77.9";"    14.2";"     8.6";"     1.8";"    53.9";"    44.3";"    30.9";"    13.3";"    52.6";"    54.5";"    17.4";"     5.8"
"105";"10000";"MW00000";"GM0230";"    82.0";"    12.3";"     7.7";"     2.0";"    45.9";"    52.2";"    36.4";"    15.8";"    48.3";"    46.6";"    15.5";"     5.1"
"106";"10000";"MW00000";"GM0114";"    78.4";"    16.2";"    11.0";"     1.9";"    41.4";"    56.7";"    37.5";"    19.2";"    46.7";"    36.4";"    18.2";"     4.9"
"107";"10000";"MW00000";"GM0388";"    77.2";"    14.6";"     8.6";"     1.7";"    48.5";"    49.7";"    33.7";"    16.1";"    49.5";"    47.2";"    16.6";"     6.4"
"108";"10000";"MW00000";"GM0153";"    77.1";"    17.2";"    11.3";"     1.2";"    47.6";"    51.1";"    34.5";"    16.6";"    53.8";"    47.7";"    18.1";"     6.2"
"109";"10000";"MW00000";"GM0232";"    81.4";"    15.1";"    10.1";"     1.0";"    45.9";"    53.0";"    38.7";"    14.4";"    50.5";"    48.9";"    14.4";"     6.3"
"110";"10000";"MW00000";"GM0233";"    80.3";"    11.5";"     6.5";"     1.3";"    47.8";"    50.9";"    36.8";"    14.1";"    48.7";"    47.6";"    15.8";"     4.7"
"111";"10000";"MW00000";"GM0777";"    78.6";"    16.9";"    11.1";"     2.4";"    44.9";"    52.8";"    37.4";"    15.4";"    49.3";"    52.3";"    12.0";"     5.7"
"112";"10000";"MW00000";"GM1940";"    82.4";"    12.4";"     7.9";"     2.5";"    47.8";"    49.6";"    36.1";"    13.5";"    53.8";"    50.9";"    13.9";"     7.6"
"113";"10000";"MW00000";"GM0779";"    76.4";"    15.7";"    10.3";"     1.7";"    39.7";"    58.6";"    39.9";"    18.7";"    43.8";"    47.7";"    12.7";"     4.4"
"114";"10000";"MW00000";"GM1771";"    80.0";"    15.2";"    10.4";"     2.0";"    45.9";"    52.1";"    35.6";"    16.5";"    51.8";"    52.1";"    15.4";"     7.6"
"115";"10000";"MW00000";"GM1652";"    80.3";"    13.7";"     7.6";"     0.9";"    47.2";"    51.9";"    38.7";"    13.2";"    54.3";"    56.9";"    11.8";"     7.7"
"116";"10000";"MW00000";"GM0907";"    77.9";"    17.1";"     9.0";"     1.3";"    47.7";"    51.0";"    37.9";"    13.1";"    53.0";"    48.0";"    14.9";"     4.5"
"117";"10000";"MW00000";"GM0784";"    77.7";"    14.5";"     9.1";"     1.3";"    44.9";"    53.8";"    38.5";"    15.3";"    50.7";"    55.5";"    11.6";"     5.9"
"118";"10000";"MW00000";"GM1924";"    80.8";"    13.0";"     8.4";"     0.7";"    44.2";"    55.0";"    37.5";"    17.5";"    42.2";"    41.4";"    13.1";"     5.3"
"119";"10000";"MW00000";"GM0664";"    78.3";"    14.2";"     9.6";"     1.5";"    49.4";"    49.1";"    36.9";"    12.2";"    52.9";"    46.4";"    15.6";"     5.0"
"120";"10000";"MW00000";"GM0785";"    79.7";"    13.5";"     7.7";"     1.4";"    41.9";"    56.7";"    39.8";"    16.9";"    51.5";"    54.5";"    12.6";"     4.4"
"121";"10000";"MW00000";"GM1942";"    82.4";"    10.9";"     7.1";"     2.5";"    55.1";"    42.4";"    32.8";"     9.6";"    52.2";"    57.1";"    15.6";"     8.0"
"122";"10000";"MW00000";"GM0512";"    79.0";"    16.8";"    10.9";"     0.9";"    47.9";"    51.2";"    34.7";"    16.5";"    46.0";"    47.1";"    17.2";"     4.0"
"123";"10000";"MW00000";"GM0513";"    80.3";"    14.1";"     9.6";"     1.4";"    50.8";"    47.7";"    32.5";"    15.2";"    52.0";"    50.6";"    14.9";"     4.7"
"124";"10000";"MW00000";"GM0786";"    76.8";"    13.9";"     9.4";"     2.0";"    47.5";"    50.5";"    34.9";"    15.5";"    44.7";"    51.3";"    13.6";"     6.7"
"125";"10000";"MW00000";"GM0518";"    76.0";"    19.3";"    12.5";"     2.2";"    50.7";"    47.1";"    32.5";"    14.6";"    49.9";"    50.3";"    19.1";"     4.7"
"126";"10000";"MW00000";"GM0014";"    81.1";"    10.3";"     6.3";"     2.5";"    58.3";"    39.2";"    28.3";"    11.0";"    57.8";"    56.3";"    22.8";"     7.6"
"127";"10000";"MW00000";"GM1729";"    76.3";"    14.7";"     8.3";"     1.5";"    48.0";"    50.5";"    35.7";"    14.8";"    39.9";"    45.0";"    14.4";"     6.6"
"128";"10000";"MW00000";"GM0158";"    82.7";"    14.9";"     9.9";"     2.2";"    45.2";"    52.6";"    36.3";"    16.3";"    54.8";"    51.8";"    14.6";"     7.1"
"129";"10000";"MW00000";"GM0788";"    82.1";"    11.5";"     6.7";"     0.9";"    48.3";"    50.8";"    36.6";"    14.2";"    52.0";"    60.1";"    13.0";"     7.8"
"130";"10000";"MW00000";"GM0392";"    81.6";"    12.6";"     8.0";"     1.9";"    55.5";"    42.6";"    30.9";"    11.7";"    60.2";"    57.5";"    15.2";"     6.4"
"131";"10000";"MW00000";"GM0394";"    81.5";"    12.0";"     7.2";"     1.6";"    49.5";"    48.9";"    35.1";"    13.8";"    52.6";"    55.2";"    13.6";"     5.7"
"132";"10000";"MW00000";"GM1655";"    79.1";"    14.4";"     9.7";"     0.9";"    43.6";"    55.6";"    36.2";"    19.3";"    45.6";"    53.6";"    14.3";"     5.5"
"133";"10000";"MW00000";"GM0160";"    83.5";"    14.7";"     7.3";"     1.5";"    43.7";"    54.8";"    36.6";"    18.2";"    48.9";"    44.6";"    16.9";"     8.0"
"134";"10000";"MW00000";"GM0243";"    77.9";"    13.5";"     8.4";"     0.8";"    45.2";"    54.0";"    36.8";"    17.2";"    50.9";"    49.1";"    14.9";"     4.1"
"135";"10000";"MW00000";"GM0523";"    82.3";"    14.0";"     9.7";"     1.2";"    46.1";"    52.8";"    37.8";"    15.0";"    43.6";"    41.8";"    15.2";"     4.5"
"136";"10000";"MW00000";"GM0072";"    78.0";"    15.1";"    10.0";"     1.5";"    43.8";"    54.7";"    36.1";"    18.6";"    56.2";"    44.8";"    20.8";"     7.6"
"137";"10000";"MW00000";"GM0244";"    82.2";"    11.2";"     8.0";"     1.5";"    51.0";"    47.5";"    34.3";"    13.2";"    55.8";"    53.1";"    14.3";"     4.5"
"138";"10000";"MW00000";"GM0396";"    79.7";"    15.3";"     9.1";"     1.7";"    44.9";"    53.3";"    37.6";"    15.7";"    56.4";"    57.0";"    12.6";"     6.0"
"139";"10000";"MW00000";"GM0397";"    82.8";"    10.9";"     7.6";"     0.8";"    57.4";"    41.8";"    33.5";"     8.3";"    62.3";"    65.2";"    11.5";"     8.0"
"140";"10000";"MW00000";"GM0246";"    82.1";"    13.0";"     8.3";"     1.1";"    47.5";"    51.4";"    37.0";"    14.4";"    53.1";"    48.7";"    12.9";"     7.7"
"141";"10000";"MW00000";"GM0074";"    82.2";"    12.5";"     8.1";"     1.9";"    48.1";"    50.0";"    35.7";"    14.3";"    54.6";"    48.6";"    16.4";"     5.1"
"142";"10000";"MW00000";"GM0398";"    77.7";"    12.9";"     7.1";"     1.5";"    46.0";"    52.5";"    37.2";"    15.3";"    55.1";"    53.0";"    13.9";"     5.2"
"143";"10000";"MW00000";"GM0917";"    69.3";"    24.2";"    16.2";"     2.0";"    41.7";"    56.3";"    35.7";"    20.6";"    40.0";"    38.6";"    22.3";"     5.5"
"144";"10000";"MW00000";"GM1658";"    81.2";"    12.0";"     7.1";"     2.0";"    49.6";"    48.4";"    36.0";"    12.4";"    53.2";"    58.0";"     9.1";"     7.3"
"145";"10000";"MW00000";"GM0399";"    83.8";"     9.6";"     5.9";"     2.3";"    58.7";"    39.0";"    29.0";"    10.0";"    58.4";"    60.1";"    12.2";"     7.1"
"146";"10000";"MW00000";"GM0400";"    76.9";"    17.3";"    10.7";"     0.7";"    40.0";"    59.4";"    40.4";"    19.0";"    48.4";"    42.8";"    18.6";"     6.1"
"147";"10000";"MW00000";"GM0163";"    82.0";"    14.2";"     9.0";"     1.8";"    42.4";"    55.7";"    43.0";"    12.7";"    53.3";"    51.3";"    13.7";"     8.9"
"148";"10000";"MW00000";"GM0530";"    77.6";"    19.3";"    12.6";"     2.6";"    41.7";"    55.8";"    37.7";"    18.1";"    38.6";"    39.9";"    17.4";"     5.5"
"149";"10000";"MW00000";"GM0794";"    75.3";"    18.1";"    11.8";"     1.1";"    44.1";"    54.8";"    34.7";"    20.1";"    47.5";"    47.3";"    18.4";"     5.7"
"150";"10000";"MW00000";"GM0531";"    82.4";"    13.0";"     7.5";"     2.9";"    46.7";"    50.4";"    34.9";"    15.5";"    41.9";"    51.7";"    12.0";"     4.4"
"151";"10000";"MW00000";"GM0164";"    79.5";"    13.3";"     8.2";"     0.7";"    48.6";"    50.8";"    34.2";"    16.5";"    50.5";"    50.8";"    19.8";"     7.7"
"152";"10000";"MW00000";"GM0796";"    79.4";"    13.3";"     8.0";"     1.7";"    50.9";"    47.5";"    35.4";"    12.1";"    48.0";"    56.0";"    18.4";"     5.9"
"153";"10000";"MW00000";"GM0252";"    78.7";"    10.4";"     5.2";"     1.2";"    55.4";"    43.4";"    32.8";"    10.6";"    54.7";"    63.4";"    12.4";"     7.5"
"154";"10000";"MW00000";"GM0797";"    78.1";"    14.4";"     9.0";"     2.3";"    48.0";"    49.7";"    35.1";"    14.6";"    44.2";"    53.5";"    12.3";"     4.4"
"155";"10000";"MW00000";"GM0534";"    82.0";"    14.6";"     7.3";"     2.2";"    51.2";"    46.5";"    33.6";"    13.0";"    46.5";"    51.2";"    12.1";"     7.2"
"156";"10000";"MW00000";"GM0798";"    82.4";"    15.0";"     8.1";"     0.9";"    52.0";"    47.1";"    35.2";"    11.9";"    52.5";"    58.7";"    10.0";"     9.3"
"157";"10000";"MW00000";"GM0402";"    82.1";"    11.9";"     7.7";"     2.4";"    53.2";"    44.4";"    32.6";"    11.8";"    50.1";"    51.9";"    18.9";"     6.0"
"158";"10000";"MW00000";"GM1963";"    81.7";"    10.7";"     7.3";"     1.3";"    47.8";"    50.9";"    37.4";"    13.5";"    46.0";"    47.1";"    13.6";"     4.5"
"159";"10000";"MW00000";"GM1735";"    82.7";"    14.3";"     9.5";"     1.4";"    44.3";"    54.3";"    38.8";"    15.5";"    53.1";"    50.9";"    15.8";"    10.1"
"160";"10000";"MW00000";"GM1966";"    78.1";"    12.7";"     9.0";"     1.1";"    46.6";"    52.2";"    38.7";"    13.5";"    48.7";"    41.0";"    17.2";"     7.1"
"161";"10000";"MW00000";"GM1911";"    78.6";"    11.5";"     8.1";"     1.3";"    47.7";"    50.9";"    34.3";"    16.6";"    48.5";"    44.2";"    17.8";"     6.2"
"162";"10000";"MW00000";"GM0118";"    75.6";"    17.9";"    10.8";"     0.8";"    46.0";"    53.2";"    37.7";"    15.5";"    48.8";"    44.6";"    24.5";"     7.6"
"163";"10000";"MW00000";"GM0405";"    77.7";"    12.6";"     8.0";"     2.2";"    48.1";"    49.7";"    35.3";"    14.4";"    50.5";"    51.5";"    16.9";"     5.6"
"164";"10000";"MW00000";"GM1507";"    78.8";"    13.3";"     7.3";"     1.4";"    44.8";"    53.8";"    38.9";"    14.9";"    55.7";"    55.7";"    14.3";"     6.8"
"165";"10000";"MW00000";"GM0321";"    79.7";"    10.5";"     5.9";"     1.5";"    54.0";"    44.5";"    32.8";"    11.7";"       .";"       .";"    10.4";"     3.7"
"166";"10000";"MW00000";"GM0406";"    79.5";"    12.4";"     8.0";"     1.3";"    48.2";"    50.4";"    36.2";"    14.2";"    45.6";"    48.7";"    17.1";"     6.9"
